p:batch_size,p:learning_rate,objective,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:mse,m:rmse,m:pcc,m:scc,m:r2,m:val_loss
157,0.0005470621895885856,-0.009317071177065372,3,0.020672082901000977,25.371432065963745,1713997985.181279,1713998010.5269895,0.009317071177065372,0.09652497619390488,0.8633044848903775,0.8596427107020148,0.7445081602475139,0.009317071177065372
373,0.0015373699131730387,-0.008606637828052044,1,0.020648956298828125,42.43916702270508,1713997985.1810536,1713998027.5948188,0.008606637828052044,0.0927719697356224,0.8748487017350091,0.8718835769424096,0.7639896005353877,0.008606637828052044
63,0.0015198578704902373,-0.008793028071522713,2,0.02066183090209961,51.416236877441406,1713997985.1814659,1713998036.5713544,0.008793028071522713,0.09377114474773407,0.8722367690818404,0.8704144500215247,0.7588784135026105,0.008793028071522713
426,2.04629217636972e-06,-0.015286589041352272,0,0.020630359649658203,53.80986523628235,1713997985.180593,1713998038.965631,0.015286589041352272,0.12363894283771515,0.7636349609594288,0.7710305371902418,0.5808125809897191,0.015286589041352272
425,0.00018561710544029192,-0.009145528078079224,4,25.396801233291626,66.14085125923157,1713998010.5569527,1713998051.2970827,0.009145528078079224,0.09563225507736206,0.8692972793271212,0.86690965807621,0.7492121944731926,0.009145528078079224
233,0.00804529530568603,-0.1154632419347763,8,66.16029119491577,79.39762854576111,1713998051.319559,1713998064.5531008,0.1154632419347763,0.33979883790016174,nan,0.0,-2.1662220585475604,0.1154632419347763
20,4.218237394619802e-06,-0.016675585880875587,7,53.83195495605469,103.43538618087769,1713998038.991385,1713998088.5911677,0.016675585880875587,0.12913398444652557,0.751192918384919,0.7627426466448252,0.5427236122236497,0.016675585880875587
31,0.008608560248669664,-0.1154632419347763,9,79.41738390922546,104.32743549346924,1713998064.5766485,1713998089.4836764,0.1154632419347763,0.33979883790016174,nan,0.0,-2.1662220585475604,0.1154632419347763
35,0.0005454983499255935,-0.008798099122941494,6,51.43593239784241,124.1868987083435,1713998036.5961301,1713998109.3424287,0.008798099122941494,0.0937981829047203,0.8750571694987654,0.8730378554012878,0.7587393594973282,0.008798099122941494
41,1.5858508885449814e-05,-0.01626063697040081,10,103.48667001724243,129.4255940914154,1713998088.6476376,1713998114.580846,0.01626063697040081,0.1275172084569931,0.7593936614992215,0.776571187682067,0.5541023601248893,0.01626063697040081
